10001 3
-7.844000000000000306e+00 3.000000000000000000e+00 1.269999999999999929e+01
-7.841999999999999638e+00 3.000000000000000000e+00 1.269999999999999929e+01
-7.839999999999999858e+00 3.000000000000000000e+00 1.269999999999999929e+01
-7.838000000000000078e+00 3.000000000000000000e+00 1.269999999999999929e+01
-7.836000000000000298e+00 3.000000000000000000e+00 1.259999999999999964e+01
-7.833999999999999631e+00 3.000000000000000000e+00 1.259999999999999964e+01
-7.831999999999999851e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.830000000000000071e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.828000000000000291e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.825999999999999623e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.823999999999999844e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.822000000000000064e+00 3.000000000000000000e+00 1.240000000000000036e+01
-7.820000000000000284e+00 3.000000000000000000e+00 1.230000000000000071e+01
-7.817999999999999616e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.815999999999999837e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.814000000000000057e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.812000000000000277e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.809999999999999609e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.807999999999999829e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.806000000000000050e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.804000000000000270e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.801999999999999602e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.799999999999999822e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.798000000000000043e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.796000000000000263e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.793999999999999595e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.791999999999999815e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.790000000000000036e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.788000000000000256e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.785999999999999588e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.783999999999999808e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.782000000000000028e+00 3.000000000000000000e+00 1.219999999999999929e+01
-7.780000000000000249e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.777999999999999581e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.775999999999999801e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.774000000000000021e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.772000000000000242e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.769999999999999574e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.767999999999999794e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.766000000000000014e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.764000000000000234e+00 3.000000000000000000e+00 1.200000000000000000e+01
-7.761999999999999567e+00 3.000000000000000000e+00 1.190000000000000036e+01
-7.759999999999999787e+00 3.000000000000000000e+00 1.190000000000000036e+01
-7.758000000000000007e+00 3.000000000000000000e+00 1.190000000000000036e+01
-7.756000000000000227e+00 3.000000000000000000e+00 1.190000000000000036e+01
-7.753999999999999559e+00 3.000000000000000000e+00 1.190000000000000036e+01
-7.751999999999999780e+00 3.000000000000000000e+00 1.180000000000000071e+01
-7.750000000000000000e+00 3.000000000000000000e+00 1.180000000000000071e+01
-7.748000000000000220e+00 3.000000000000000000e+00 1.180000000000000071e+01
-7.746000000000000441e+00 3.000000000000000000e+00 1.180000000000000071e+01
-7.743999999999999773e+00 3.000000000000000000e+00 1.169999999999999929e+01
-7.741999999999999993e+00 3.000000000000000000e+00 1.159999999999999964e+01
-7.740000000000000213e+00 3.000000000000000000e+00 1.159999999999999964e+01
-7.737999999999999545e+00 3.000000000000000000e+00 1.150000000000000000e+01
-7.735999999999999766e+00 3.000000000000000000e+00 1.150000000000000000e+01
-7.733999999999999986e+00 3.000000000000000000e+00 1.150000000000000000e+01
-7.732000000000000206e+00 3.000000000000000000e+00 1.150000000000000000e+01
-7.730000000000000426e+00 3.000000000000000000e+00 1.140000000000000036e+01
-7.727999999999999758e+00 3.000000000000000000e+00 1.140000000000000036e+01
-7.725999999999999979e+00 3.000000000000000000e+00 1.130000000000000071e+01
-7.724000000000000199e+00 3.000000000000000000e+00 1.119999999999999929e+01
-7.721999999999999531e+00 3.000000000000000000e+00 1.119999999999999929e+01
-7.719999999999999751e+00 3.000000000000000000e+00 1.119999999999999929e+01
-7.717999999999999972e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.716000000000000192e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.714000000000000412e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.711999999999999744e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.709999999999999964e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.708000000000000185e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.706000000000000405e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.703999999999999737e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.701999999999999957e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.700000000000000178e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.698000000000000398e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.695999999999999730e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.693999999999999950e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.692000000000000171e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.690000000000000391e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.687999999999999723e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.685999999999999943e+00 3.000000000000000000e+00 1.109999999999999964e+01
-7.684000000000000163e+00 3.000000000000000000e+00 1.090000000000000036e+01
-7.682000000000000384e+00 3.000000000000000000e+00 1.090000000000000036e+01
-7.679999999999999716e+00 3.000000000000000000e+00 1.080000000000000071e+01
-7.677999999999999936e+00 3.000000000000000000e+00 1.080000000000000071e+01
-7.676000000000000156e+00 3.000000000000000000e+00 1.080000000000000071e+01
-7.674000000000000377e+00 3.000000000000000000e+00 1.069999999999999929e+01
-7.671999999999999709e+00 3.000000000000000000e+00 1.069999999999999929e+01
-7.669999999999999929e+00 3.000000000000000000e+00 1.069999999999999929e+01
-7.668000000000000149e+00 3.000000000000000000e+00 1.069999999999999929e+01
-7.666000000000000369e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.663999999999999702e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.661999999999999922e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.660000000000000142e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.658000000000000362e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.655999999999999694e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.653999999999999915e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.652000000000000135e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.650000000000000355e+00 3.000000000000000000e+00 1.050000000000000000e+01
-7.647999999999999687e+00 3.000000000000000000e+00 1.040000000000000036e+01
-7.645999999999999908e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.644000000000000128e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.642000000000000348e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.639999999999999680e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.637999999999999901e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.636000000000000121e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.634000000000000341e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.631999999999999673e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.629999999999999893e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.628000000000000114e+00 3.000000000000000000e+00 1.030000000000000071e+01
-7.626000000000000334e+00 3.000000000000000000e+00 1.019999999999999929e+01
-7.623999999999999666e+00 3.000000000000000000e+00 1.009999999999999964e+01
-7.621999999999999886e+00 3.000000000000000000e+00 1.009999999999999964e+01
-7.620000000000000107e+00 3.000000000000000000e+00 1.009999999999999964e+01
-7.618000000000000327e+00 3.000000000000000000e+00 1.009999999999999964e+01
-7.615999999999999659e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.613999999999999879e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.612000000000000099e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.610000000000000320e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.607999999999999652e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.605999999999999872e+00 3.000000000000000000e+00 9.900000000000000355e+00
-7.604000000000000092e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.602000000000000313e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.599999999999999645e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.597999999999999865e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.596000000000000085e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.594000000000000306e+00 3.000000000000000000e+00 9.699999999999999289e+00
-7.591999999999999638e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.589999999999999858e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.588000000000000078e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.586000000000000298e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.583999999999999631e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.581999999999999851e+00 3.000000000000000000e+00 9.500000000000000000e+00
